id,query,label,word_count,cleaned_query,augmented_data,tokens,lemmatized_data
96,معدل من در 15 درصد ممتاز می باشد ؟,1,9.0,معدل من در درصد ممتاز می‌باشد,معدل از یک درصد ممتاز میباشد,"['معدل', 'درصد', 'ممتاز', 'می\u200cباشد']","['معدل', 'درصد', 'ممتاز', 'بود#باش']"
97,کامپیوتر های سایت اوبونتو نصب دارن؟,3,7.0,کامپیوتر‌های سایت اوبونتو نصب دارن,کامپیوترهای سایت اوبونتو اماده میگردد,"['کامپیوتر\u200cهای', 'سایت', 'اوبونتو', 'نصب', 'دارن']","['کامپیوتر\u200cهای', 'سایت', 'اوبونتو', 'نصب', 'دارن']"
98,اتاق معاون آموزشی کدام طبقه است؟,2,7.0,اتاق معاون آموزشی کدام طبقه است,اتاق معاون یا کدام طبقه ؛,"['اتاق', 'معاون', 'آموزشی', 'کدام', 'طبقه', 'است']","['اتاق', 'معاون', 'آموزش', 'کدام', 'طبقه', '#است']"
99,اتوبوس خوابگاه چه ساعتی میاد؟,2,6.0,اتوبوس خوابگاه چه ساعتی میاد,اتوبوس عمومی چه ساعتی میشود,"['اتوبوس', 'خوابگاه', 'چه', 'ساعتی', 'میاد']","['اتوبوس', 'خوابگاه', 'چه', 'ساعت', 'میاد']"
100,چرا زمان بعضی کلاس ها بیشتر از 75 دقیقه است ؟,4,11.0,چرا زمان بعضی کلاس‌ها بیشتر از دقیقه است,چرا مدت پایان کلاسها بیشتر از دقیقه ؟,"['چرا', 'زمان', 'بعضی', 'کلاس\u200cها', 'بیشتر', 'دقیقه', 'است']","['چرا', 'زمان', 'بعضی', 'کلاس', 'بیشتر', 'دقیقه', '#است']"
101,تنوع محصولات بوفه را بیشتر کنید.,4,7.0,تنوع محصولات بوفه را بیشتر کنید,سطح محصولات بوفه را بیشتر سازید,"['تنوع', 'محصولات', 'بوفه', 'بیشتر', 'کنید']","['تنوع', 'محصولات', 'بوفه', 'بیشتر', 'کرد#کن']"
102,سطح تمرینات درس هوش مصنوعی بالاست.,4,7.0,سطح تمرینات درس هوش مصنوعی بالاست,سطح تمرینات و هوش بچهها بالاست,"['سطح', 'تمرینات', 'درس', 'هوش', 'مصنوعی', 'بالاست']","['سطح', 'تمرینات', 'درس', 'هوش', 'مصنوع', 'بالاست']"
103,برای هر کلاس تعدادی سیم رابط قرار بدید.,4,9.0,برای هر کلاس تعدادی سیم رابط قرار بدید,تو هر کلاس ، سیم رابط لازم بدید,"['هر', 'کلاس', 'تعدادی', 'سیم', 'رابط', 'قرار', 'بدید']","['هر', 'کلاس', 'تعداد', 'سیم', 'رابط', 'قرار', 'بدید']"
104,چرا برای فرجه و زمان استراحت دانشکده های مهندسی درست برنامه ریزی نشده است؟,5,14.0,چرا برای فرجه و زمان استراحت دانشکده‌های مهندسی درست برنامه ریزی نشده است,چرا برای فرجه و دوباره بستن دانشکدههای مهندسی درست زمان بندی نشده است,"['چرا', 'فرجه', 'زمان', 'استراحت', 'دانشکده\u200cهای', 'مهندسی', 'درست', 'برنامه', 'ریزی', 'نشده_است']","['چرا', 'فرجه', 'زمان', 'استراحت', 'دانشکده', 'مهندس', 'درست', 'برنامه', 'ریخت#ریز', 'شد#شو']"
105,سایت کجاس ؟,2,3.0,سایت کجاس,غواصی کجاس,"['سایت', 'کجاس']","['سایت', 'کجاس']"
106,انجمن های دانشکده چی هستند؟,2,6.0,انجمن‌های دانشکده چی هستند,۳ دانشکده مربوط هستند,"['انجمن\u200cهای', 'دانشکده', 'چی', 'هستند']","['انجمن', 'دانشکده', 'چی', '#هست']"
107,ممنون بابت سرویس دانشگاه.,4,5.0,ممنون بابت سرویس دانشگاه,ممنون میگیرم حمایت دانشگاه,"['ممنون', 'بابت', 'سرویس', 'دانشگاه']","['ممنون', 'بابت', 'سرویس', 'دانشگاه']"
108,این کتاب را چه کسی برده است؟,3,7.0,این کتاب را چه کسی برده است,البته پل را چنین کسی برده است,"['این', 'کتاب', 'چه', 'کسی', 'برده_است']","['این', 'کتاب', 'چه', 'کس', 'برد#بر']"
109,اموزش فیزیک چندده؟,5,4.0,اموزش فیزیک چندده,اموزش ۱ و,"['اموزش', 'فیزیک', 'چندده']","['اموزش', 'فیزیک', 'چندده']"
110,کتابخانه مختلط است؟,3,4.0,کتابخانه مختلط است,کتابخانه عمومی است,"['کتابخانه', 'مختلط', 'است']","['کتابخانه', 'مختلط', '#است']"
111,تسهیلات استعداد درخشان چیست؟,1,5.0,تسهیلات استعداد درخشان چیست,تسهیلات رشد درخشان بانک,"['تسهیلات', 'استعداد', 'درخشان', 'چیست']","['تسهیلات', 'استعداد', 'درخشان', 'چیست']"
112,شرایط برداشتن رشته فرعی چیست؟,1,6.0,شرایط برداشتن رشته فرعی چیست,شرایط قرارگیری رشته فرعی بر,"['شرایط', 'برداشتن', 'رشته', 'فرعی', 'چیست']","['شرایط', 'برداشتن', 'رشته', 'فرع', 'چیست']"
113,سرویس دانشگاه کجاست؟,5,4.0,سرویس دانشگاه کجاست,سرویس دانشگاه ایرنا,"['سرویس', 'دانشگاه', 'کجاست']","['سرویس', 'دانشگاه', 'کجاست']"
114,ماشین قهوه دانشکده درست کار نمی کنه.,4,8.0,ماشین قهوه دانشکده درست کار نمی‌کنه,اون در دانشکده درست کار نمیکنه,"['ماشین', 'قهوه', 'دانشکده', 'درست', 'کار', 'نمی\u200cکنه']","['ماشین', 'قهوه', 'دانشکده', 'درست', 'کار', 'نمی\u200cکنه']"
115,حداقل نمره لازم برا قبولی در یک درس 3 واحدی چیست ؟,1,12.0,حداقل نمره لازم برا قبولی در یک درس واحدی چیست,حداقل نمره لازم جهت شرکت در یک گروه واحدی چیست,"['حداقل', 'نمره', 'لازم', 'برا', 'قبولی', 'یک', 'درس', 'واحدی', 'چیست']","['حداقل', 'نمره', 'لازم', 'برا', 'قبولی', 'یک', 'درس', 'واحد', 'چیست']"
116,ساعات حضور دکتر شاملی در دفترشان به چه صورت است؟,2,11.0,ساعات حضور دکتر شاملی در دفترشان به چه صورت است,ساعات ملاقات دکتر شاملی در خارج از چه ترتیبی است,"['ساعات', 'حضور', 'دکتر', 'شاملی', 'دفترشان', 'چه', 'صورت', 'است']","['ساعات', 'حضور', 'دکتر', 'شامل', 'دفتر', 'چه', 'صورت', '#است']"
117,ساعت درس افزار رو درست کنید.,4,7.0,ساعت درس افزار رو درست کنید,ساعت درس افزار ، خاموش کنید,"['ساعت', 'درس', 'افزار', 'درست', 'کنید']","['ساعت', 'درس', 'افزار', 'درست', 'کرد#کن']"
118,آموزش کجاست؟,1,3.0,آموزش کجاست,اموزش و,"['آموزش', 'کجاست']","['آموزش', 'کجاست']"
119,حذف و اضافه چند واحد میتوان تغییر داد؟,1,9.0,حذف و اضافه چند واحد میتوان تغییر داد,تورم و کاهش چند که میتوان تغییر داد,"['حذف', 'اضافه', 'چند', 'واحد', 'میتوان', 'تغییر', 'داد']","['حذف', 'اضافه', 'چند', 'واحد', 'میتوان', 'تغییر', 'داد']"
120,حذف و اضافه تا کیه؟,1,6.0,حذف و اضافه تا کیه,حذف دکمه اضافه تا ثانیه,"['حذف', 'اضافه', 'کیه']","['حذف', 'اضافه', 'کیه']"
121,از کجا میتونم گواهی اشتغال به تحصیل بگیرم؟,1,9.0,از کجا میتونم گواهی اشتغال به تحصیل بگیرم,در ایران توانسته گواهی اشتغال به تحصیل بگیرم,"['کجا', 'میتونم', 'گواهی', 'اشتغال', 'تحصیل', 'بگیرم']","['کجا', 'میتونم', 'گواه', 'اشتغال', 'تحصیل', 'گرفت#گیر']"
122,چه بازه ای از معدل الف حساب میشود ؟,1,9.0,چه بازه‌ای از معدل الف حساب میشود,خط بازهای از معدل … حساب …,"['چه', 'بازه\u200cای', 'معدل', 'الف', 'حساب', 'میشود']","['چه', 'بازه', 'معدل', 'الف', 'حساب', 'میشود']"
123,آیا امکان رزرو کتاب وجود دارد ؟,3,7.0,آیا امکان رزرو کتاب وجود دارد,ایا امکان رزرو اپارتمان وجود داره,"['آیا', 'امکان', 'رزرو', 'کتاب', 'وجود', 'دارد']","['آیا', 'امکان', 'رزرو', 'کتاب', 'وجود', 'داشت#دار']"
124,از کجا میتونم کتابای الکترونیک بگیرم ؟,3,7.0,از کجا میتونم کتابای الکترونیک بگیرم,از پاریس امدهام کتابای الکترونیک ببینم,"['کجا', 'میتونم', 'کتابای', 'الکترونیک', 'بگیرم']","['کجا', 'میتونم', 'کتابای', 'الکترونیک', 'گرفت#گیر']"
125,مسئول حراست ادب را رعایت نمیکند.,4,7.0,مسئول حراست ادب را رعایت نمیکند,مسيول اجرایی اصول را رعایت نمیکند,"['مسئول', 'حراست', 'ادب', 'رعایت', 'نمیکند']","['مسئول', 'حراست', 'ادب', 'رعایت', 'نمیکند']"
126,لیست دروس ارائه شده ترم آتی را از کجا میتوانم ببینم؟,1,12.0,لیست دروس ارائه شده ترم آتی را از کجا میتوانم ببینم,لیست دروس ارايه نشده ترم قبل را من کجا میتوانم و,"['لیست', 'دروس', 'ارائه', 'شده', 'ترم', 'آتی', 'کجا', 'میتوانم', 'ببینم']","['لیس', 'دروس', 'ارائه', 'شده', 'تر', 'آتی', 'کجا', 'میتوانم', 'ببینم']"
127,با اتوبوس میشه رفت تجریش؟,5,6.0,با اتوبوس میشه رفت تجریش,با هم نباید رفت تجریش,"['اتوبوس', 'میشه', 'رفت', 'تجریش']","['اتوبوس', 'میشه', 'رفت#رو', 'تجریش']"
128,کجا میشه نشست ؟,2,4.0,کجا میشه نشست,کجا میشه ؛,"['کجا', 'میشه', 'نشست']","['کجا', 'میشه', 'نشست']"
129,سیستم های سایت برای پردازش های سنگین جوابگو هست؟,3,10.0,سیستم‌های سایت برای پردازش‌های سنگین جوابگو هست,سیستمهای سایت مختص پردازشهای سنگین یکسان نمیباشند,"['سیستم\u200cهای', 'سایت', 'پردازش\u200cهای', 'سنگین', 'جوابگو', 'هست']","['سیستم\u200cهای', 'سایت', 'پردازش', 'سنگین', 'جوابگو', '#هست']"
130,مدارک مورد نیاز برای گرفتن وام دانشجویی؟,2,8.0,مدارک مورد نیاز برای گرفتن وام دانشجویی,زمان مورد لازم برای پرداخت وام دانشجویی,"['مدارک', 'مورد', 'نیاز', 'گرفتن', 'وام', 'دانشجویی']","['مدارک', 'مورد', 'نیاز', 'گرفتن', 'وام', 'دانشجویی']"
131,اتاق رییس دانشکده کدوم طبقه است؟,2,7.0,اتاق رییس دانشکده کدوم طبقه است,ببینید رییس دانشکده کدوم اداره است,"['اتاق', 'رییس', 'دانشکده', 'کدوم', 'طبقه', 'است']","['اتاق', 'رییس', 'دانشکده', 'کدو', 'طبقه', '#است']"
132,میشه سیستم عامل رایانه ی سایت رو عوض کنیم؟,3,10.0,میشه سیستم عامل رایانه‌ی سایت رو عوض کنیم,میشه مثلا عامل محیط سایت رو عوض ؟,"['میشه', 'سیستم', 'عامل', 'رایانه\u200cی', 'سایت', 'عوض', 'کنیم']","['میشه', 'سیستم', 'عامل', 'رایانه', 'سایت', 'عوض', 'کرد#کن']"
133,ترم اول هستم اطلاعاتی ندارم.,1,6.0,ترم اول هستم اطلاعاتی ندارم,ترم اول هستم من هم,"['ترم', 'اول', 'هستم', 'اطلاعاتی', 'ندارم']","['تر', 'اول', '#هست', 'اطلاعات', 'داشت#دار']"
134,سایت باز است؟,3,4.0,سایت باز است,راه باز است,"['سایت', 'باز', 'است']","['سایت', 'باز', '#است']"
135,قدیمی ترین چاپ مربوط به کدام کتاب است؟,3,9.0,قدیمی‌ترین چاپ مربوط به کدام کتاب است,قدیمیترین پست معروف به چاپخانه کتاب است,"['قدیمی\u200cترین', 'چاپ', 'مربوط', 'کدام', 'کتاب', 'است']","['قدیمی\u200cترین', 'چاپ', 'مربوط', 'کدام', 'کتاب', '#است']"
136,تعداد غیبت مجاز برای هر درس چقدره؟,1,8.0,تعداد غیبت مجاز برای هر درس چقدره,« غیبت مجاز برای هر روز را,"['تعداد', 'غیبت', 'مجاز', 'هر', 'درس', 'چقدره']","['تعداد', 'غیبت', 'مجاز', 'هر', 'درس', 'چقدره']"
137,جشن روز دانشجو کجا برگزار میشه؟,2,7.0,جشن روز دانشجو کجا برگزار میشه,جشن روز دانشجو روزه گرفته میشه,"['جشن', 'روز', 'دانشجو', 'کجا', 'برگزار', 'میشه']","['جشن', 'روز', 'دانشجو', 'کجا', 'برگزار', 'میشه']"
138,اتاق خواب داریم ؟,2,4.0,اتاق خواب داریم,اتاق فکر داریم,"['اتاق', 'خواب', 'داریم']","['اتاق', 'خواب', 'داشت#دار']"
